title	type	url_slug	venue	date	location	talk_url	description
Conference Proceeding talk 3 on Relevant Topic in Your Field	Conference proceedings talk	talk-3	Testing Institute of America 2014 Annual Conference	2014-03-01	"Los Angeles, CA"		"This is a description of your conference proceedings talk, note the different field in type. You can put anything in this field."
Integrated Pest Management Strategies for Red Clover Pests in Organic Seed Production	Extension talk	2024-07-17-ipm-organic-red-clover	Carrot River Organic Field Day	2024-07-17	"Carrot River, SK, Canada"		Extension talk delivered at the Carrot River Organic Field Day focusing on IPM strategies for red clover pests in organic systems.
Integrated Pest Management: Tools for Better Pest Management	Extension talk	2024-07-18-ipm-tools-ag-in-motion	Speaker Series: Ag in Motion	2024-07-18	"Langham, SK, Canada"		"Extension talk delivered as part of Ag in Motion's Speaker Series, highlighting practical IPM tools for growers."
The Ecology and Economics of the Lesser Clover Leaf Weevil in Red Clover Seed Production Systems	Extension talk	2025-03-04-ecology-economics-lclw	Soils and Crops 2025	2025-03-04	"Saskatoon, SK, Canada"		Extension presentation on ecological and economic aspects of the lesser clover leaf weevil in red clover seed production.
Insights from Two-Choice Assays: Drought and Soil Microbial Communities Affect Pollinator Preferences	Extension talk	2024-12-10-drought-microbes-pollinators	Saskatchewan Forage Seed Development Commission AGM	2024-12-10	"Arborfield, SK, Canada"		Extension talk on how drought and soil microbial communities shape pollinator foraging behaviour.
Optimizing Thresholds and Sampling Strategies for Controlling the Lesser Clover Leaf Weevil	Extension talk	2024-03-05-optimizing-thresholds-lclw	Soils and Crops 2024	2024-03-05	"Saskatoon, SK, Canada"		Extension talk on economic thresholds and sampling strategies for managing the lesser clover leaf weevil.
"Lesser Clover Leaf Weevil: Scouting, Economic Thresholds, and Sequential Sampling Plans"	Extension talk	2023-12-11-lclw-scoting-thresholds	Saskatchewan Forage Seed Development Commission Annual Meeting	2023-12-11	"White Fox, SK, Canada"		Extension presentation covering scouting and threshold-based decision tools for lesser clover leaf weevil management.
Volatile Organic Compounds as Behavioural Modifiers in Hypera nigrirostris Reproductive Ecology	Conference talk	2025-11-09-vocs-hypera-esa	Entomological Society of America Annual Meeting 2025	2025-11-09	"Portland, OR, USA"		Conference presentation on VOC-mediated behavioural responses in Hypera nigrirostris.
"Targeting Pests, Not Pollinators: Developing Selective Lures for Hypera nigrirostris"	Conference talk	2025-10-05-selective-lures-hypera	Entomological Society of Canada Annual Meeting 2025	2025-10-05	"Calgary, AB, Canada"		Conference presentation on selective lure development for Hypera nigrirostris.
Developing Pheromone-Based Tools for Sustainable Management of Hypera nigrirostris	Conference talk	2025-07-25-pheromone-tools-lclw	4th Annual Plant Sciences Graduate Student Field Day	2025-07-25	"Saskatoon, SK, Canada"		Conference presentation on pheromone-based management tools for Hypera nigrirostris.
Toward a Volatile-Based Pest Management Strategy for the Lesser Clover Leaf Weevil	Conference talk	2025-06-23-volatile-pest-strategy	International Chemical Ecology Course (ICE2025)	2025-06-23	"Jena, Germany"		Conference talk on integrating volatiles into pest management strategies for lesser clover leaf weevil.
Management of a Clover Weevil (Hypera nigrirostris) in Red Clover on the Canadian Prairies	Conference talk	2025-03-14-management-hypera-psgss40	40th Plant Science Graduate Student Symposium	2025-03-14	"Winnipeg, MB, Canada"		Conference talk on management strategies for Hypera nigrirostris in the Canadian Prairies.
Insights from Two-Choice Assays: Drought and Soil Microbial Communities Affect Pollinator Preferences	Conference talk	2024-12-06-drought-microbes-pollinators-ess	Entomological Society of Saskatchewan Annual Meeting 2024	2024-12-06	"Saskatoon, SK, Canada"		"Conference talk presenting two-choice assay findings on drought, soil microbes, and pollinator foraging behaviour."
Drought and Soil Microbial Community: Implications for Pollinators’ Preferences and Colony Fitness	Conference talk	2024-11-10-drought-microbes-colony-fitness-esa	Entomological Society of America Annual Meeting 2024	2024-11-10	"Phoenix, AZ, USA"		Conference presentation on how drought and soil microbes influence bumblebee foraging and colony-level responses.
Economic Injury Levels and Economic Thresholds for the Lesser Clover Leaf Weevil in Red Clover Seed Production	Conference talk	2024-10-20-eil-et-lclw-esc	Entomological Society of Canada Annual Meeting 2024	2024-10-20	"Quebec City, QC, Canada"		Conference talk on economic injury levels and thresholds for lesser clover leaf weevil in red clover.
"Lesser Clover Leaf Weevil in Red Clover Seed Production: Scouting, Thresholds, and Sequential Sampling Plans"	Conference talk	2024-08-25-lclw-ice-kyoto	International Congress of Entomology (ICE 2024)	2024-08-25	"Kyoto, Japan"		Conference presentation on scouting tools and decision thresholds for lesser clover leaf weevil in red clover.
Drought and Soil Microbial Community: Implications for Pollinators’ Preferences and Colony Fitness	Conference talk	2024-07-19-drought-microbes-field-day	3rd Annual Plant Sciences Graduate Student Field Day	2024-07-19	"Saskatoon, SK, Canada"		Conference talk examining drought × soil microbial community effects on bumblebee foraging preference.
Economic Injury Levels and Economic Thresholds for the Lesser Clover Leaf Weevil	Conference talk	2024-03-15-eil-et-lclw-psgss39	39th Plant Science Graduate Student Symposium	2024-03-15	"Saskatoon, SK, Canada"		Conference presentation on EIL and ET development for lesser clover leaf weevil.
"Lesser Clover Leaf Weevil in Red Clover Seed Production: Scouting, Thresholds, and Sequential Sampling Plans"	Conference talk	2023-12-08-lclw-ess-meeting	Entomological Society of Saskatchewan Annual Meeting 2023	2023-12-08	"Saskatoon, SK, Canada"		Conference talk on scouting and threshold-based management of lesser clover leaf weevil.
Developing Economic Thresholds and Sequential Sampling Plans for Lesser Clover Leaf Weevil	Conference talk	2023-11-05-economic-thresholds-lclw-esa	Entomological Society of America Annual Meeting 2023	2023-11-05	"National Harbor, MD, USA"		Conference presentation on threshold development and sequential sampling for lesser clover leaf weevil.
"Effects of Phytoplasma Infection on Aster Leafhopper Settling Behaviour, Oviposition, and Development"	Conference talk	2023-10-15-phytoplasma-leafhopper-esc	Entomological Society of Canada Annual Meeting 2023	2023-10-15	"Saskatoon, SK, Canada"		Conference talk on AYp–vector interactions in aster leafhopper.
Development of Economic Thresholds for Lesser Clover Leaf Weevil in Red Clover Seed Production Systems	Conference talk	2023-10-15-thresholds-lclw-esc	Entomological Society of Canada Annual Meeting 2023	2023-10-15	"Saskatoon, SK, Canada"		Conference presentation on threshold development for lesser clover leaf weevil.
Plant Pathogen Effects on Hemipteran Probing Activity	Conference talk	2022-08-22-plant-pathogen-hemipteran-sure	Student Undergraduate Research Experience Symposium 2022	2022-08-22	"Saskatoon, SK, Canada"		Conference presentation on pathogen-mediated changes in hemipteran probing behaviour.
Development of Economic Injury Levels and Thresholds for Hypera nigrirostris in Red Clover Seed Systems	Poster	2025-11-09-eil-thresholds-hypera-esa25	Entomological Society of America Annual Meeting 2025	2025-11-09	"Portland, OR, USA"		Poster presenting economic injury level and threshold modeling for Hypera nigrirostris in red clover.
Scent Signals and Selectivity: Volatile Cues for Targeting Hypera nigrirostris	Poster	2025-09-24-volatile-cues-hypera	USask Agriculture Research Day	2025-09-24	"Saskatoon, SK, Canada"		Poster highlighting volatile cues associated with selectivity in Hypera nigrirostris.
"Effects of Phytoplasma Infection on Aster Leafhopper Settling Behaviour, Oviposition, and Development"	Poster	2024-12-10-phytoplasma-leafhopper-sfsdc	Saskatchewan Forage Seed Development Commission Meeting 2024	2024-12-10	"Arborfield, SK, Canada"		Poster on AYp-driven changes in settling behaviour and development of aster leafhopper.
"Love Triangle? Brassica napus, Aster Yellows, and Aster Leafhoppers"	Poster	2024-11-10-love-triangle-bnapus	Entomological Society of America Annual Meeting 2024	2024-11-10	"Phoenix, AZ, USA"		"Poster on plant–pathogen–vector interactions between canola, AYp, and aster leafhoppers."
"Crop Damage, Economic Loss, and Weevils: Developing Tools for Red Clover Seed Growers"	Poster	2023-12-14-crop-damage-weevils	Graduate Student Research Conference	2023-12-14	"Saskatoon, SK, Canada"		Poster on grower-oriented management tools for lesser clover leaf weevil.
Effects of Temperature on Lesser Clover Leaf Weevil Developmental Time	Poster	2023-12-11-temperature-lclw-forage-forum	Forage Seed Production Forum 2023	2023-12-11	"White Fox, SK, Canada"		Poster exploring temperature-dependent development of lesser clover leaf weevil.
Effects of Temperature on Lesser Clover Leaf Weevil Developmental Time	Poster	2023-11-05-temperature-lclw-esa23	Entomological Society of America Annual Meeting 2023	2023-11-05	"National Harbor, MD, USA"		Poster examining developmental timing of Hypera nigrirostris under varying temperatures.
"Effects of Phytoplasma Infection on Aster Leafhopper Settling Behaviour, Oviposition, and Development"	Poster	2022-11-13-phytoplasma-leafhopper-jointmeeting	Entomological Societies of America and Canada Joint Meeting 2022	2022-11-13	"Vancouver, BC, Canada"		Poster presentation on infection-mediated changes in leafhopper behaviour.
Plant Pathogen Effects on Hemipteran Settling Behavior	Poster	2022-09-07-hemipteran-settling-agbio	AgBio Student Research Day 2022	2022-09-07	"Saskatoon, SK, Canada"		Poster on plant pathogen influences on settling decisions in hemipteran pests.